Author,Text
Trump,"There is no challenge too great, no dream outside of our reach! Thank you Selma, North Carolina!
#ICYMI, watch here_ https://t.co/8uIrhgYRsl"
Trump,"RT @PaulaReidCBS: .@CBSNews confirms FBI found emails on #AnthonyWeiner computer, related to Hillary Clinton server, that are ""new"" &amp; not p_"
Trump,"Join me in Wilmington, Ohio tomorrow at 4:00pm! It is time to #DrainTheSwamp! Tickets: https://t.co/eCLECM3nmW https://t.co/sb5irRxjxJ"
Trump,#CrookedHillary is unfit to serve. https://t.co/bSuGvInNF1
Trump,"Thank you Concord, North Carolina! When WE win on November 8th, we are going to Washington, D.C. and we are going t_ https://t.co/7j4MBn1Waf"
Trump,"Watching my beautiful wife, Melania, speak about our love of country and family. We will make you all very proud._ https://t.co/DiKmSnTlC2"
Trump,Looking at Air Force One @ MIA. Why is he campaigning instead of creating jobs &amp; fixing Obamacare? Get back to work for the American people!
Trump,"ObamaCare is a total disaster. Hillary Clinton wants to save it by making it even more expensive. Doesnt work, I will REPEAL AND REPLACE!"
Trump,"My wife, Melania, will be speaking in Pennsylvania this afternoon. So exciting, big crowds! I will be watching from North Carolina."
Trump,"Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN!
#ImWithYou #DrainTheSwamp
https://t.co/tSI0YP2LL9"
Trump,RT @T_Lineberger: Thanks @IvankaTrump for coming to help win Michigan! More people here than a Hillary rally with less than 24 hours notice_
Trump,#MakeAmericaGreatAgain #6Days https://t.co/eHTGIEpFsm
Trump,"Thank you Orlando, Florida! We are just six days away from delivering justice for every forgotten man, woman and ch_ https://t.co/LPXBQZ5AXt"
Trump,"After decades of lies and scandal, Crooked Hillarys corruption is closing in. #DrainTheSwamp! https://t.co/YivCacmkKq"
Trump,"Clinton camp fumed when surrogate told supporters Clinton planned to betray labor on TPP post-election:
https://t.co/ZZjbGDZP7e"
Trump,"""It pays to have friends in high places- like the Justice Department. Clearly the Clintons do.""
#DrainTheSwamp! https://t.co/KZXB4B156M"
Trump,"Thank you Miami! In 6 days, we are going to WIN the GREAT STATE of FLORIDA - and we are going to win back the White_ https://t.co/MKYPOp0MeD"
Trump,Praying for the families of the two Iowa police who were ambushed this morning. An attack on those who keep us safe is an attack on us all.
Trump,"""@PYNance: Evangelical women live at #trumptower @pdpryor1 @CissieGLynch @SaysGabrielle https://t.co/k5kGXPR2WA"""
Trump,"""@Ravenrantz: #Billygrahams grand daughter #SupportsTrump https://t.co/sKz1SPHzDZ""  So nice, thank you Cissy Graham Lynch!!!!"
Trump,"Crooked Hillary Clinton deleted 33,000 e-mails AFTER they were subpoenaed by the United States Congress. Guilty - cannot run. Rigged system!"
Trump,"I am going to repeal and replace ObamaCare. We will have MUCH less expensive and MUCH better healthcare. With Hillary, costs will triple!"
Trump,"You can change your vote in six states. So, now that you see that Hillary was a big mistake, change your vote to MAKE AMERICA GREAT AGAIN!"
Trump,"Join me in Florida tomorrow!

MIAMIۢ12pm
https://t.co/A3X71Q6sG2

ORLANDOۢ4pm
https://t.co/6BqTVoty5C

PENSACOLAۢ7p_ https://t.co/kEQuuJeO1B"
Trump,Thank you for your incredible support Wisconsin and Governor @ScottWalker! It is time to #DrainTheSwamp &amp; #MAGA!_ https://t.co/gKBkKmTudn
Trump,"RT @DanScavino: Join @realDonaldTrump LIVE in Wisconsin with Gov. @ScottWalker, @MayorRGiuliani, @Reince &amp; Coach Bobby Knight! LIVE: https:_"
Trump,"WikiLeaks emails reveal Podesta urging Clinton camp to dump emails.
Time to #DrainTheSwamp!
https://t.co/P3ajiACiXK"
Trump,Podesta urged Clinton team to hand over emails after use of private server emerged https://t.co/NYvVmoA8wl
Trump,"Mika Brzezinski: Dem Criticism of Comey Reinforcing Idea There۪s Something There
https://t.co/EvBp0xESPN https://t.co/QIDBiDpat8"
Trump,Hillary Advisers Wanted Her To Avoid Supporting Israel When Talking To Democrats: https://t.co/y7m8iVU173
Trump,Trump promises special session to repeal Obamacare: https://t.co/wTCd108yrV
Trump,Kept me out of jail: Top DOJ official involved in Clinton probe represented her campaign chairman: https://t.co/QUZn97CEOq
Trump,.@DarrellIssa is a very good man. Help him win his congressional seat in California.
Trump,"#ICYMI: Governor @mike_pence and I were in Valley Forge, Pennsylvania today. You can watch it here:_ https://t.co/6GWgmCV23Z"
Trump,"So terrible that Crooked didnt report she got the debate questions from Donna Brazile, if that were me it would have been front page news!"
Trump,"JOIN ME TOMORROW IN FLORIDA!

MIAMIۢ12pm
https://t.co/A3X71Q6sG2

ORLANDOۢ4pm
https://t.co/6BqTVoty5C

PENSACOLAۢ7p_ https://t.co/kNzrAeuLZO"
Trump,"Crooked Hillary should not be allowed to run for president. She deleted 33,000 e-mails AFTER getting a subpoena from U.S. Congress. RIGGED!"
Trump,"Wow, now leading in @ABC /@washingtonpost Poll 46 to 45. Gone up 12 points in two weeks, mostly before the Crooked Hillary blow-up!"
Trump,Look at the way Crooked Hillary is handling the e-mail case and the total mess she is in. She is unfit to be president. Bad judgement!
Trump,"Wow! I hear you Warren, Michigan. Streaming live - join us America. It is time to DRAIN THE SWAMP!
Watch: https://t.co/pjXELwc5E1"
Trump,#ObamacareFail #HillarycareFail https://t.co/gaXOWVI0Xa
Trump,"Thank you Grand Rapids, Michigan! #ICYMI- watch: https://t.co/2mDQCs6coB https://t.co/gN7BYfLD9K"
Trump,$25 Million+ raised online in just one week! RECORD WEEK. #DrainTheSwamp Today we set a bigger record. Contribute &gt;https://t.co/CZ1QmzCxwO
Trump,"Legendary basketball coach Bobby Knight who has 900+ wins, many championships and a gold medal will be introducing_ https://t.co/aHltfG7U4I"
Trump,"Hillarys Two Official Favors To Morocco Resulted In $28 Million For Clinton Foundation #DrainTheSwamp
https://t.co/6qOO7FZSvF"
Trump,"Join me tomorrow in Michigan!

Grand Rapids at 12pm:
https://t.co/xFPRNF7pnF

Warren at 3pm:
https://t.co/DREwbH7ZVd https://t.co/iyXwiP0rvd"
Trump,"Beautiful rally in Albuquerque, New Mexico this evening - thank you. Get out &amp; VOTE! #DrainTheSwamp
Watch rally:_ https://t.co/K2RSgt2Zh5"
Trump,"""@slh: I follow Mr.Trump at all of his rallies by watching them on https://t.co/biseaBESvS. He is a lion-hearted warrior, who inspires hope"
Trump,"Thank you Greeley, CO! REAL change means restoring honesty to the govt. Our plan will END govt. corruption! Watch:_ https://t.co/qz5AL7zvp4"
Trump,"Thank you Las Vegas, Nevada- I love you! Departing for Greeley, Colorado now. Get out &amp; VOTE! #ICYMI- watch here:_ https://t.co/uIloPRtEn9"
Trump,"See you tomorrow Michigan!

Grand Rapids, MI tomorrow at noon:
https://t.co/xFPRNEPNZ5

Warren, MI tomorrow at 3pm:_ https://t.co/UHRTgS88B5"
Trump,"Wow, Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!"
Trump,"Hillary and the Dems loved and praised FBI Director Comey just a few days ago. Original evidence was overwhelming, should not have delayed!"
Trump,"We are now leading in many polls, and many of these were taken before the criminal investigation announcement on Friday - great in states!"
Trump,"Great day in Colorado &amp; Arizona. Will be in Nevada, Colorado and New Mexico tomorrow - join me!
Tickets:_ https://t.co/vMPTsLXsCT"
Trump,"THANK YOU Phoenix, Arizona! Time for new POWERFUL leadership. Just imagine what WE can accomplish in our first 100_ https://t.co/gqZLLxcenk"
Trump,So nice - great Americans outside Trump Tower right now. Thank you! https://t.co/34ATTgICTz
Trump,"Departing Golden, CO. for Arizona now - after an unbelievable rally. Watch here: https://t.co/zNzmWuZPiV
Overflow: https://t.co/93L7JfdmXJ"
Trump,#ObamacareFail https://t.co/iusXk4n9w7
Trump,"Tomorrow!

Las Vegas, NV- 11a: https://t.co/KluudKImvn
Greeley, CO- 4p: https://t.co/JYimiIbqKB
Albuquerque, NM- 7p: https://t.co/7SCol4vQlM"
Trump,"""@DeplorableCBTP: ""In my mind, #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TVs #DuckDynasty""   Thank you Phil!"
Trump,I am in Colorado - big day planned - but nothing can be as big as yesterday!
Trump,"Join me in Colorado at 12pm tomorrow - or Arizona at 3pm!

TICKETS:
Golden: https://t.co/Eix7SspO2Z
Phoenix:_ https://t.co/pheYCksxq0"
Trump,"Thank you Maine, New Hampshire and Iowa. The waiting is OVER! The time for change is NOW! We are going to_ https://t.co/HVPjw6qeQ2"
Trump,"""@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClintons email server after new discovery!"
Trump,Just landed in Iowa - speaking soon!
Trump,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp https://t.co/GtPkj4xIz6
Trump,"Just out: Neera Tanden, Hillary Clinton adviser said, Israel is depressing.۝ I think Israel is inspiring!"
Trump,RT @DRUDGE_REPORT: WSJ:  The Cold Clinton Reality... https://t.co/udWj5mXcA6
Trump,Heading to New Hampshire. Will be talking about the disaster known as ObamaCare!
Trump,"If my people said the things about me that Podesta &amp; Hillarys people said about her, I would fire them out of self respect. ""Bad instincts"""
Trump,"Join me tonight in Cedar Rapids, Iowa at 7pm: https://t.co/QWaEJpR79n

Phoenix, Arizona tomorrow night at 3pm: https://t.co/0LjE9qbNLh"
Trump,"""@Jmoschetti1363: @Johnatsrs1949 FBI must be outraged that their hands r tied she has no regard or t secret service, FBI, or (Dallas)police"""
Trump,RT @DRUDGE_REPORT: WSJ:  Grifters-in-Chief...  https://t.co/mPFocMuBgu
Trump,"Thank you Geneva, Ohio.
If I am elected President, I am going to keep RADICAL ISLAMIC TERRORISTS OUT of our countr_ https://t.co/a7t5QN2iqW"
Trump,"Join @TeamTrump on Facebook &amp; watch tonights rally from Geneva, Ohio- our 3rd rally of the day. #AmericaFirst #MAGA https://t.co/ZqJmf4QcwH"
Trump,Crooked Hillary launched her political career by letting terrorists off the hook. #DrainTheSwamp_ https://t.co/BLMkZQ8svK
Trump,"""@KeithRowland: People in Arizona just got a taste of Obamacare with a 116% increase in premiums. @realDonaldTrump"" Repeal and replace!"
Trump,I will be interviewed on @oreillyfactor tonight at 8:00 P.M. Enjoy!
Trump,"I delivered a speech in Charlotte, North Carolina yesterday. I appreciate all of the feedback &amp; support. Lets #MAGA_ https://t.co/aI2HtiRUzr"
Trump,"Join me live in Toledo, Ohio. Time to #DrainTheSwamp &amp; #MAGA!
https://t.co/NU39Mmlh1T"
Trump,"Join me in Cedar Rapids, Iowa tomorrow at 7:00pm! #MAGA
https://t.co/QWaEJpzvKN https://t.co/CniHGkjp0v"
Trump,"#ICYMI: I agree- To all Americans, I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp with me on 11/8._ https://t.co/P2edj2MoXy"
Trump,"Thank you Springfield, Ohio. Get out and #VoteTrumpPence16!
#ICYMI - watch here: https://t.co/dEoXV6oS3b_ https://t.co/RNgCUUqO4X"
Trump,"Join me live in Springfield, Ohio!
https://t.co/LREA7WRmOx"
Trump,"Inside Bill Clinton Inc.۪: Hacked memo reveals intersection of charity and personal income. #DrainTheSwamp!
https://t.co/UfDVzeSDfd"
Trump,"JOIN ME! #MAGA
TODAY:
Springfield, OH
Toledo, OH
Geneva, OH
FRIDAY:
Manchester, NH
Lisbon, ME
Cedar Rapids, IA
https://t.co/kv624y9UOm"
Trump,"I agree, @MMFlint- To all Americans, I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp w/ me on 11/8. https://t.co/D7nBwkogBb"
Trump,"""Clinton Foundation۪s Fundraisers Pressed Donors to Steer Business to Former President""
https://t.co/PlFILR6JCn"
Trump,"Ron Fournier: ""Clinton Used Secret Server To Protect #CircleOfEnrichment۝
https://t.co/4OGP3tPxyp"
Trump,"WikiLeaks Drip-Drop Releases Prove One Thing: Theres No Nov. 8 Deadline on Clintons Dishonesty and Scandals
https://t.co/MfRy3Nvd4F"
Trump,A lot of call-ins about vote flipping at the voting booths in Texas. People are not happy. BIG lines. What is going on?
Trump,"Obamacare is a disaster. We must REPEAL &amp; REPLACE. Tired of the lies, and want to #DrainTheSwamp? Get out &amp; VOTE_ https://t.co/jOelj829Pg"
Trump,RT @EricTrump: Tune into @GMA right now to catch a great interview with my father &amp; the entire family! __ #VoteTrumpPence16 https://t.co/Sa_
Trump,"Beautiful evening in Kinston, North Carolina - thank you! Get out and VOTE!! You can watch tonights rally here:_ https://t.co/x7wtERl55d"
Trump,"Thank you Charlotte, North Carolina. Great afternoon! #ICYMI - I delivered a speech on urban renewal. Full speech:_ https://t.co/ga6DQZrIR0"
Trump,Hillary said she was under sniper fire (while surrounded by USSS.) Turned out to be a total lie. She is not fit to_ https://t.co/hBIrGj21l6
Trump,"JOIN ME IN OHIO TOMORROW!
Springfield-1pm:
https://t.co/YcbpSigtva

Toledo-4pm:
https://t.co/BOJH0l1CZz

Geneva-7pm_ https://t.co/7qbIRel33u"
Trump,REPEAL AND REPLACE OBAMACARE!
Trump,"Thank you Tallahassee, Florida! A beautiful evening with the MOVEMENT! Get out &amp; VOTE!
#ICYMI- watch here: https://t.co/GDKhwrCa9R"
Trump,"Thank you Sanford, Florida. Get out &amp; VOTE #TrumpPence16! #ICYMI- watch this afternoons rally here:_ https://t.co/zVXrScClfd"
Trump,"REPEAL AND REPLACE!!!
#ObamaCareInThreeWords"
Trump,I have met &amp; spent a lot of time with families @ The Remembrance Project. I will fight for them everyday!_ https://t.co/Ot6vQGqVW0
Trump,"Get your ballots in Colorado - I will see you soon -- and we will win!
#MakeAmericaGreatAgain https://t.co/oDLvZg7MLk"
Trump,"Obama Warned Of Rigged Elections In 2008. Time to #DrainTheSwamp
https://t.co/AkczH8l0FJ https://t.co/7mIkwAHTuV"
Trump,"Obamacare is a disaster. Rates going through the sky - ready to explode. I will fix it. Hillary cant!
#ObamacareFailed"
Trump,Truly honored to receive the first ever presidential endorsement from the Bay of Pigs Veterans Association. #MAGA_ https://t.co/aRdlFkVjAx
Trump,"Obamacare is a disaster - as Ive been saying from the beginning. Time to repeal &amp; replace!
#ObamacareFail https://t.co/5CvoMbVceT"
Trump,#ObamacareFail https://t.co/90Aixp25Oc
Trump,"Obamacare is a disaster! Time to repeal &amp; replace! #ObamacareFail
https://t.co/xDPhVczf1g"
Trump,#ObamacareFail https://t.co/5Zvsys8j5w
Trump,#ObamacareFail https://t.co/Mb0YW1rg6g
Trump,Get out and vote! I am your voice and I will fight for you! We will make America great again! https://t.co/XXvLRlhSaz
Trump,"Key Obamacare premiums to jump 25% next year:
https://t.co/TCdHEdPQDG"
Trump,#Obamacare premiums are about to SKYROCKET --- again. Crooked H will only make it worse. We will repeal &amp; replace! https://t.co/fY1REYV4rK
Trump,"As election looms, some bad news for Clinton, Democrats:
https://t.co/7aWWVQPjTo"
Trump,"Record crowd in Tampa, Florida- thank you! We will WIN FLORIDA, #DrainTheSwamp in Washington D.C. and MAKE AMERICA_ https://t.co/IpSUYnXcp6"
Trump,Thank you Bobby Bowden for the intro tonight and your support! I hope I can do as well for Florida as you have done! https://t.co/Vx5iltoaXj
Trump,"My contract with the American voter will restore honesty, accountability &amp; CHANGE to Washington! #DrainTheSwamp https://t.co/sbVwctT1Sj"
Trump,"Peter Navarro: Trump the Bull vs. Clinton the Bear #DrainTheSwamp
https://t.co/mQRkfMG80j"
Trump,"Democratic operative caught on camera: Hillary PERSONALLY ordered Donald Duck troll campaign that broke the law
https://t.co/sTreHAfYUH"
Trump,"Join me tomorrow in Sanford or Tallahassee, Florida!

Sanford at 3pm:
https://t.co/PZENw9Kheg

Tallahassee at 6pm:
https://t.co/WKI69e1bqD"
Trump,"THANK YOU St. Augustine, Florida! Get out and VOTE! Join the MOVEMENT - and lets #DrainTheSwamp! Off to Tampa now!_ https://t.co/zgwqhy2jBX"
Trump,"Join me LIVE on my Facebook page in St. Augustine, Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!_ https://t.co/mPzVrcaR9L"
Trump,"Honored to receive an endorsement from @SJSOPIO - thank you! Together, we are going to MAKE AMERICA SAFE &amp; GREAT AG_ https://t.co/PSTcOei5t1"
Trump,Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience https://t.co/1GVq74iW8a
Trump,"Leaving West Palm Beach, Florida now - heading to St. Augustine for a 3pm rally. Will be in Tampa at 7pm - join me:_ https://t.co/eLunEQRxZq"
Trump,"The Clinton Foundation۪s Most Questionable Foreign Donations
#PayToPlay #DrainTheSwamp
https://t.co/IkeqMRjX5z"
Trump,"Departing Farmers Round Table in Boynton Beach, Florida. Get out &amp; VOTE- lets #MAGA!
EARLY VOTING BY FL. COUNTY:_ https://t.co/MgJxNbxRga"
Trump,"Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp!
RASMUSSEN NATIONAL
Trump 43%
Clinton 41% https://t.co/jIOR7Bq816"
Trump,We are winning and the press is refusing to report it. Dont let them fool you- get out and vote! #DrainTheSwamp on November 8th!
Trump,Why has nobody asked Kaine about the horrible views emanated on WikiLeaks about Catholics? Media in the tank for Clinton but Trump will win!
Trump,Major story that the Dems are making up phony polls in order to suppress the the Trump . We are going to WIN!
Trump,"Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let this happen - ISIS!"
Trump,Clinton Ally Aided Campaign of FBI Official۪s Wife https://t.co/U0w99gfyKE
Trump,"Clinton Charity Got Up To $56 Million From Nations That Are Anti-Women, Gays #CrookedHillary
https://t.co/eHsuBdi8XM"
Trump,"Thank you Naples, Florida! Get out and VOTE #TrumpPence16 on 11/8.
Lets #MakeAmericaGreatAgain!
Full Naples rally_ https://t.co/5ZbteSJ00K"
Trump,The attack on Mosul is turning out to be a total disaster. We gave them months of notice. U.S. is looking so dumb. VOTE TRUMP and WIN AGAIN!
Trump,#CrookedHillary #PayToPlay https://t.co/BT1Nv0ZMYg
Trump,"Join me in Naples, Florida this evening at 6:00pm! Tickets: https://t.co/Oax06JVzv1 https://t.co/g9LBxI1dJ8"
Trump,Remember - get out on November 8th &amp; VOTE #TrumpPence16. It is time to #DrainTheSwamp -- this is our last chance! https://t.co/bnGcJUt7UL
Trump,"Former Prosecutor: The Clintons Are So Corrupt, Everything They Touch Turns To Molten Lead۪
https://t.co/5Eyfi092vn"
Trump,"Thank you Las Vegas Review Journal!
EDITORIAL: Donald Trump for president https://t.co/uH5GH7Bhe0 via @reviewjournal"
Trump,"Well, Iran has done it again. Taken two of our people and asking for a fortune for their release. This doesnt happen if Im president!"
Trump,"""If you cant run your own house you certainly cant run the White House"" A statement made by Mrs. Obama about Crooked Hillary Clinton"
Trump,"Thank you for the massive turnout tonight- Cleveland, Ohio! Get out &amp; VOTE #TrumpPence16 on 11/8.
Watch rally here:_ https://t.co/XuJZeJwSGk"
Trump,"WikiLeaks: Clinton-Kaine Even Lied About Timing of Veep Pick
https://t.co/e1NVdpSfNr"
