Text,Author
Here's to my love!,Shakespeare
Bill Clinton wants to #MakeAmericaGreatAgain https://t.co/rVOZHzrlEB,Trump
"""@TitanicQueen @LadySandersfarm What frightens them abt Trump is his totally NON POLITICAL CORRECT nature~Donald is shaking up the house!""",Trump
As shall to thee blot out what wrongs were theirs,Shakespeare
Thank you! #AmericaFirst https://t.co/6v4C8ykDVl,Trump
"Keep house and ply his book, welcome his friends,",Shakespeare
"for true, that he's so full of gold?",Shakespeare
"I hold you a penny,",Shakespeare
"O, he's drunk, Sir Toby, an hour agone, his eyes",Shakespeare
"Being well arrived from Delphos, are both landed,",Shakespeare
"[Reads]  ''Gamut' I am, the ground of all accord,",Shakespeare
Exeunt Cupid and Ladies,Shakespeare
"And we alive that lived? Fly, damned baseness,",Shakespeare
"That what we did was mildly as we might,",Shakespeare
John Kasich was never asked by me to be V.P. Just arrived in Cleveland - will be a great two days!,Trump
Via @FSMtweet: Trump is Right: Illegal Alien Crime is Staggering in Scope and Savagery۝ http://t.co/najLkku1zE,Trump
"Pardon me, madam, I have unadvised",Shakespeare
With the memorials and the things of fame,Shakespeare
"Great new polls! Thank you Nevada, North Carolina &amp; Ohio. Join the MOVEMENT today &amp; lets #MAGA!_ https://t.co/Y8Sb8MNyXA",Trump
"Ay, my lord, this same.",Shakespeare
"Join me in Florida tomorrow!
#MakeAmericaGreatAgain

Daytona | 3pm-
https://t.co/jbOS2s4qGI

Jacksonville | 7pm-
https://t.co/XSF1kp7R54",Trump
I quote it in your jerkin.,Shakespeare
Peace! we'll hear him.,Shakespeare
When we are so unsecret to ourselves?,Shakespeare
Leaving for Liberty University. Ill be speaking today in front of a record crowd. #Trump2016,Trump
milliner can so fit his customers with gloves: he,Shakespeare
"Unguided and unfriended, often prove",Shakespeare
"I understand you, sir, 'tis well begged.",Shakespeare
"I'll warrant you, 'tis as well:",Shakespeare
"O, pardon, I offend.",Shakespeare
"With hey, ho, the wind and the rain,",Shakespeare
"That is one may reach deep enough, and yet",Shakespeare
"The king and prince at prayers! let's assist them,",Shakespeare
exquisite friend.,Shakespeare
"""@raider8381:  @Morning_Joe @FoxNews   America wants DONALD TRUMP! ""TV Heads"" still refuse to embrace that reality! Media are LIARS.""",Trump
"Grow in the veins of actions highest rear'd,",Shakespeare
"Know that the people of Rome, for whom we stand",Shakespeare
As thou unworthy to be call'd her servant.,Shakespeare
"And grant, as Timon grows, his hate may grow",Shakespeare
"And honourable carriage,",Shakespeare
I bade the vile owl go learn me the tenor of the,Shakespeare
And linger not our sure destructions on!,Shakespeare
"Carouse full measure to her maidenhead,",Shakespeare
"And now I remember, my lord, you gave",Shakespeare
"Now while I speak this, holds his wife by the arm,",Shakespeare
I am thus early come to know what service,Shakespeare
"""@RKMCPHERSON2014: Tonights, The GOP aka @realDonaldTrump show. Projected to be the most watched GOP debate in history. Will u b watching??",Trump
"We met by chance, you did not find me here.",Shakespeare
"How does Ben Carson survive this problem  really big. Similar story on front page of New York Times.
  https://t.co/y9fqUUYRnD",Trump
"It is my fashion, when I see a crab.",Shakespeare
"To Juliet's grave, for there must I use thee.",Shakespeare
"She vied so fast, protesting oath on oath,",Shakespeare
"her fool, but her corrupter of words.",Shakespeare
[Aside]  I see she's like to have neither cap nor gown.,Shakespeare
"Behind the tuft of pines I met them, never",Shakespeare
"stockings, and every officer his wedding-garment on?",Shakespeare
"If you suspect my husbandry or falsehood,",Shakespeare
"Her and her virtues, I cannot forget",Shakespeare
I do refer me to the oracle:,Shakespeare
"""@sjbatis: @realDonaldTrump Bravo for saying whats on most of Americans mind. Lets make America great, again!""",Trump
She says you have some goodly jest in hand:,Shakespeare
"'Alla nostra casa ben venuto, molto honorato signor",Shakespeare
"I delivered a speech in Charlotte, North Carolina yesterday. I appreciate all of the feedback &amp; support. Lets #MAGA_ https://t.co/aI2HtiRUzr",Trump
"Et vous aussi, votre serviteur.",Shakespeare
And help to dress your sister's chamber up:,Shakespeare
"When would you use it? pray, sir, tell me that.",Shakespeare
.@GovernorSununu who couldnt get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa,Trump
"'Tis true, my brother's daughter's queen of Tunis,",Shakespeare
"Thank you for the nice words @ktmcfarland. The debate was interesting, and fun. Keep up the great work!",Trump
Their harness studded all with gold and pearl.,Shakespeare
"of a lazar, so I were not Menelaus! Hey-day!",Shakespeare
"O, patience!",Shakespeare
"Thank you Arizona! See you soon!
#MakeAmericaGreatAgain https://t.co/IC3pe5lRAS",Trump
"Watching John Kasich being interviewed - acting so innocent and like such a nice guy. Remember him in second debate, until I put him down.",Trump
I will be interviewed on @foxandfriends at 8:30 A.M. ENJOY!,Trump
"ISIS threatens us today because of the decisions Hillary Clinton has made along with President Obama.""  --  Donald J. Trump",Trump
You heedless joltheads and unmanner'd slaves!,Shakespeare
"""@ChadR73: Guess Barry Diller is afraid @realDonaldTrump is about to upset the crony applecart. #Trump2016 @Carl_C_Icahn"" An angry fool!",Trump
"Ne'er see thou man, and let me ne'er see thee.",Shakespeare
"Please you command, a thousand times as much, And yet--",Shakespeare
"#IACaucus ۢ 2/1/2016 ۢ 6:30pm
#MakeAmericaGreatAgain!

Iowa caucus finder: https://t.co/ANvTcZqfOq #GOPDebate https://t.co/HLuyCcuLcp",Trump
Enter SILVIA,Shakespeare
"Good morr ow, lords:",Shakespeare
"God-a-mercy, that thou wilt believe me, but a",Shakespeare
"One three of them, by their own report, sir, hath",Shakespeare
"Italian master, Julio Romano, who, had he himself",Shakespeare
"Would I admit, no name of magistrate,",Shakespeare
"The late, great, William F. Buckley would be ashamed of what had happened to his prize, the dying National Review!",Trump
"""@TrumpFix: I swear, Donald is getting better, bolder, brasher, and more kick ass with every event/intvw he does! HE WILL WIN!",Trump
"My friend Polixenes: which had been done,",Shakespeare
"Women are made to bear, and so are you.",Shakespeare
Dove-drawn with her. Here thought they to have done,Shakespeare
I have a proven track record supporting our Veterans. Veterans deserve universal access to care. VA scandal proves politicians are inept.,Trump
Who doth molest my contemplation?,Shakespeare
"There is our captain: we'll follow him that's fled,",Shakespeare
"I pray thee, mark me--that a brother should",Shakespeare
Where of the execution did cry out,Shakespeare
widow Dido!,Shakespeare
"Which does mend nature, change it rather, but",Shakespeare
Confederates all thus to dishonour me.,Shakespeare
With an invisible and subtle stealth,Shakespeare
"And lulls him whilst she playeth on her back,",Shakespeare
That the life-weary taker may fall dead,Shakespeare
what's Achilles?,Shakespeare
Thank you to everyone for the wonderful reviews of my speech on Thursday night. From the heart!,Trump
Mark--They could use you.  https://t.co/tOJ3ecOjNZ,Trump
"Your master quits you, and for your service done him,",Shakespeare
with a grace?,Shakespeare
for a placket. I have said my prayers and devil Envy,Shakespeare
Except mine own name: that some whirlwind bear,Shakespeare
But if there be not in our Grecian host,Shakespeare
Hark! you are call'd: some say the Genius so,Shakespeare
"Ay, gentle Thurio: for you know that love",Shakespeare
"Most honour'd Timon,",Shakespeare
"I have from your Sicilian shores dismiss'd,",Shakespeare
"We come to speak with him. Ulysses, enter you.",Shakespeare
"By my halidom, I was fast asleep.",Shakespeare
He is drunk now: where had he wine?,Shakespeare
"Upon thee in the letter. Prithee, be content:",Shakespeare
Todays @WSJ Editorial is WRONG again. I know that China is not in the new T.P.P. trade deal but would come in latter through a back door.,Trump
"Dopey @GeorgeWill, a big proponent of the Iraq War and other catastrophes, doesn۪t like me very much. That means I win!",Trump
"Which honour does acknowledge, whereof the least",Shakespeare
"Why, what need we",Shakespeare
SCENE V. Another part of the plains.,Shakespeare
When time hath sow'd a grizzle on thy case?,Shakespeare
"""Trump shows complete domination of Facebook conversation""
https://t.co/tPiIyk4Dyc",Trump
"Enter LUCIUS with an army of Goths, with drum and colours",Shakespeare
Where left we last?,Shakespeare
"Dear my brother,",Shakespeare
"""@brazosboys: Hillary read ""sigh"" off the Teleprompter, Shes so fake she has to be told how to feel: https://t.co/ENXliW2m77 @FoxNews",Trump
My substance should be statue in thy stead.,Shakespeare
"That's as much as to say, bastard virtues, that,",Shakespeare
"I charge thee use her well, even for my charge,",Shakespeare
One that attends your ladyship's command.,Shakespeare
"#MakeAmericaGreatAgain #NYPrimary
https://t.co/awow5pyn7n",Trump
"""@JohnSte38475254: @realDonaldTrump @FoxNews  ...Why is Fox being so hard on u? I dont get it...are they idiots?""",Trump
From mine own library with volumes that,Shakespeare
And sweetly felt it.,Shakespeare
"Is torn from forth that pretty hollow cage,",Shakespeare
"But you, Sir Thurio, are not sharp enough,",Shakespeare
I am glad at heart,Shakespeare
Exit with the child,Shakespeare
".@oreillyfactor please explain to the very dumb and failing @glennbeck that I supported John McCain big league in 2008, not Obama!",Trump
".@KarlRove  Had my best day ever in the polls, one had me at 41% - Morning Consult. Boston Globe, Monmouth, NBC and CNN all great. More!",Trump
"Wilt thou be gone? Sweet Valentine, adieu!",Shakespeare
Flavius.,Shakespeare
"fasted, it was presently after dinner, when you",Shakespeare
"#ICYMI: Governor @mike_pence and I were in Valley Forge, Pennsylvania today. You can watch it here:_ https://t.co/6GWgmCV23Z",Trump
"If her liquor be good, she shall: if she will not, I",Shakespeare
Hillary says things cant change. I say they have to change. Its a choice between Americanism and her corrupt globalism. #Imwithyou,Trump
"In conclusion, I stand affected to her.",Shakespeare
More ready to cry out 'Who knows what follows?',Shakespeare
"""@HMaewest:  Via the Washington Post: Inside the World of Donald Trumps Super Fans: https://t.co/QL6VhkZ8pm https://t.co/wfbcBcsCov""",Trump
"Say that she frown, I'll say she looks as clear",Shakespeare
"""@Valdosta_Monkey: @ChrisCuomo @realDonaldTrump  Is Chris serious, lying or misinformed? Bill Clinton signed NAFTA https://t.co/dFDvYQrN1v""",Trump
He's gentle and not fearful.,Shakespeare
water against a gentlewoman's farthingale? didst,Shakespeare
"Or I am mad, or else this is a dream:",Shakespeare
"""@soz58: @realDonaldTrump @BOB_EWASHINGTON @club4growth its good to show the public such things,a lot of nerve to ask for a million dollars",Trump
"Your husband, being troubled with a shrew,",Shakespeare
.@CNN is all negative when it comes to me. I dont watch it anymore.,Trump
"And therefore, if you say no more than this,",Shakespeare
".@CNN is so disgusting in their bias, but they are having a hard time promoting Crooked Hillary in light of the new e-mail scandals.",Trump
That doth not wish you joy!,Shakespeare
"Dummy writer @tonyschwartz, who wanted to do a second book with me for years (I said no), is now a hostile basket case who feels jilted!",Trump
"now with, 'knocking at the gate'?",Shakespeare
And thence she cannot be convey'd away.,Shakespeare
"After a great evening and packed auditorium in Iowa, I am now in Colorado looking forward to what I am sure will be a very unfair debate!",Trump
It۪s this simple. Make America Great Again.۝ #debate #BigLeagueTruth,Trump
Made a speech in Arkansas last night before a record GOP crowd. Great spirit and amazing people. MAKE AMERICA GREAT AGAIN!,Trump
"robin-redbreast, to walk alone, like one that had",Shakespeare
"Thou detestable maw, thou womb of death,",Shakespeare
RT @CLewandowski_: Gov Nikki Haley just became a liability for Rubio after this was published to social media! https://t.co/NBvl6bs223,Trump
.@JebBush was terrible on Face The Nation today. Being at 2% and falling seems to have totally affected his confidence. A basket case!,Trump
"May know if you remain upon this island,",Shakespeare
"""@paulkellysr  Mr Trump thanks for saying what millions are thinking. We need to turn America around if we want to save her.""",Trump
"Dost it enforcedly, thou'ldst courtier be again,",Shakespeare
"And at that time I made her weep agood,",Shakespeare
.@AndreBauer  Great job and advice on @CNN  @jaketapper  Thank you!,Trump
Do you believe that Hillary Clinton now wants Obamacare for illegal immigrants? She should spend more time taking care of our great Vets!,Trump
Its the Democrats total weakness &amp; incompetence that gave rise to ISIS --  not a tape of Donald Trump that was an admitted Hillary lie!,Trump
How rank soever rounded in with danger.,Shakespeare
"would we had so ended! but you, sir, altered that,",Shakespeare
If I be not by her fair influence,Shakespeare
.@FoxNews is so biased it is disgusting. They do not want Trump to win. All negative!,Trump
"And rear'd aloft the bloody battle-axe,",Shakespeare
"me, for every reason excites to this, that my lady",Shakespeare
My leash unwillingly.,Shakespeare
If I did stay to look on his intents.,Shakespeare
"'M, O, A, I, doth sway my life.' Nay, but first, let",Shakespeare
"For quiet days, fair issue and long life,",Shakespeare
"No care, no stop! so senseless of expense,",Shakespeare
Thou shalt not live to brag what we have offer'd.,Shakespeare
Would not the beggar then forget himself?,Shakespeare
"""@nbcsnl: Everyone loves @Sia۪s new look. #SNL https://t.co/oqsASGtwpb""",Trump
Shall she within my power.,Shakespeare
"Will be interviewed by @seanhannity tonight for the full hour. Hope you enjoy it and, more importantly, hope you agree!",Trump
"You mistake, sir, I am sure no man hath any quarrel",Shakespeare
"I pray you, deliver him this petition,",Shakespeare
"The world is not thy friend nor the world's law,",Shakespeare
"So 'tis said, sir, about his son, that should have",Shakespeare
By working wreakful vengeance on thy foes.,Shakespeare
"By two of their most reverend senate, greet thee:",Shakespeare
"My contract with the American voter will restore honesty, accountability &amp; CHANGE to Washington! #DrainTheSwamp https://t.co/sbVwctT1Sj",Trump
"that knows me to be in love, yet I am in love, but a",Shakespeare
"""@SandraOpines: @realDonaldTrump I LOVE watching Donald Trump in action. Free education. Just watch and learn. LOVE IT. #TrumpTrain"" Nice.",Trump
Into some covert: take your sweetheart's hat,Shakespeare
A course of learning and ingenious studies.,Shakespeare
"the hour, if it so hap. Cheerly, good hearts! Out",Shakespeare
I hope when Rand Paul gets out of the racehe is at 1%--his supporters come over to me. I will do a much better job for them.,Trump
"Name of mercy, when was this, boy?",Shakespeare
"Of this diseased opinion, and betimes,",Shakespeare
Might come to me again. Who's there?,Shakespeare
.@megynkelly used this poll (nobody else did) when I was downwonder if she۪ll use it now that I۪m up? https://t.co/wEhqux6Ss8,Trump
Satisfy!,Shakespeare
"Marry, peace it bodes, and love and quiet life,",Shakespeare
Melania will be interviewed by @morningmika on @Morning_Joe now (8:30 A.M.). ENJOY!,Trump
"""@Margee11: #WISCONSIN VOTE SMART @tedcruz RECORDS R SEALED.. WHAT IS HE HIDING? SAVE AMERICA W/ @realDonaldTrump https://t.co/kMuAoGF99S""",Trump
"""@kitkat123frank: @realDonaldTrump @CNN @SpecialKMB1969. You have my vote""",Trump
"Upon the wasted building, suddenly",Shakespeare
You woo'd me the false way.,Shakespeare
The baby figure of the giant mass,Shakespeare
"I prithee, and I'll pay thee bounteously,",Shakespeare
And with an accent tuned in selfsame key,Shakespeare
Concluding 'Stay: not yet.',Shakespeare
"To square for this? would it offend you, then",Shakespeare
From change of fortune. Why this spade? this place?,Shakespeare
To the perpetual wink for aye might put,Shakespeare
I am thus resolved: on Sunday next you know,Shakespeare
"Put pardon, father Nestor, were your days",Shakespeare
I'll not put,Shakespeare
Is almost come.,Shakespeare
"Crooked Hillary will NEVER be able to solve the problems of poverty, education and safety within the African-American &amp; Hispanic communities",Trump
Bloomberg: Trump leads GOP field https://t.co/kWqWeRzIkl,Trump
"Wow, great Ohio poll. Shows me leading by 5 points, beating K!",Trump
"Is it mine, or Valentine's praise,",Shakespeare
"Strike up the drum towards Athens! Farewell, Timon:",Shakespeare
"Just watched lightweight Marco Rubio lying to a small crowd about my past record. He is not as smart as Cruz, and may be an even bigger liar",Trump
"But it must grieve young Pyrrhus now at home,",Shakespeare
So thou destroy Rapine and Murder there.,Shakespeare
"""@radioworldsv:Tomorrow on TODAY @MLauer moderates @realDonaldTrump town hall, live from New Hampshire. #TrumpTODAY https://t.co/SqzsV2K2zh",Trump
When you do your Christmas shopping remember how disloyal @Macys was to the subject of illegal immigration. #BoycottMacys #DumpMacys,Trump
"Burn, house! sink, Athens! henceforth hated be",Shakespeare
"Buried his father, by whose death he's stepp'd",Shakespeare
To sauce thy dishes.,Shakespeare
"""@WPayton344: @PaulManafort Great Interview on CNN-Being from CT- I am thrilled you are part of this Team-GO TRUMP!""",Trump
"Thank you Marco, I agree! https://t.co/PTfFzFno9p",Trump
"The wreck of all my friends, nor this man's threats,",Shakespeare
"Rescue thy mistress, if thou be a man.",Shakespeare
My prettiest Perdita!,Shakespeare
"As misers do by beggars, neither gave to me",Shakespeare
"Leave! an you take leave till to-morrow morning,--",Shakespeare
"For the love of God, a surgeon! Send one presently",Shakespeare
"""@mikepetrella17:  @Peggynoonannyc I agree with Trump. Record turnouts . Theres a lot of potential voters that Trump is tapping into.",Trump
"Will be my knell. Go, play, boy, play.",Shakespeare
"Gold? yellow, glittering, precious gold? No, gods,",Shakespeare
"Clerk-like experienced, which no less adorns",Shakespeare
"Why should I war without the walls of Troy,",Shakespeare
"Patricians and plebeians, we create",Shakespeare
"Thank you Tampa, Florida!
#AmericaFirst #TrumpTrain https://t.co/fY4QVoSSfj",Trump
"Newly alighted, and come to visit you.",Shakespeare
"kersey boot-hose on the other, gartered with a red",Shakespeare
".@EWErickson got fired like a dog from RedState
and now he is the one leading opposition against me.",Trump
"Pollster Trend
National GOP Average
223 national polls &amp; 33 pollsters.
#MakeAmericaGreatAgain #Trump2016 https://t.co/mILAGwjvS2",Trump
"All dues be render'd to their owners: now,",Shakespeare
After I have done what I promised?,Shakespeare
"""@JodiL792: @DefendingtheUSA @america_trump @60Minutes Thats exactly what I thought. We havent had great leader since Reagan&amp;now Trump""",Trump
after do our work.,Shakespeare
"And say 'This man's a flatterer?' if one be,",Shakespeare
"Though he be merry, yet withal he's honest.",Shakespeare
Thank you! #MakeAmericaGreatAgain https://t.co/Pzs9uwgzam,Trump
Endorsements for Lyin Ted Cruz- https://t.co/c3QEbexOwT,Trump
"Seal'd in my function, by my testimony:",Shakespeare
"letter to you, I should have given't you to-day",Shakespeare
"His very air, that I should call you brother,",Shakespeare
To appease their groaning shadows that are gone.,Shakespeare
What is amiss plague and infection mend!,Shakespeare
"are welcome to the house, if not, an it would please",Shakespeare
"Tell me, I beseech you, which is the readiest way",Shakespeare
Even in the milk-white bosom of thy love.,Shakespeare
"Another tell him of his hounds and horse,",Shakespeare
cooling when 'tis almost an apple: 'tis with him,Shakespeare
"""@SteveMullaney1: @realDonaldTrump has all of my support!!""",Trump
Cuts off TITUS's hand,Shakespeare
"Believe me, sir, they butt together well.",Shakespeare
"""@pink_sprnva: @pastormike7 @thehill I agree with you on this. @realDonaldTrump wont be good. He will be great!""",Trump
"Willing you to demand your hostages,",Shakespeare
"""@billsupdates: Why Buffalo Bills could be responsible for Donald Trump becoming president https://t.co/JxF7kjfaZR"" Team has a great owner!",Trump
How Troy was burnt and he made miserable?,Shakespeare
He's as tall a man as any's in Illyria.,Shakespeare
I'll do my best,Shakespeare
Sweet poetry and Tully's Orator.,Shakespeare
Thank you to my great supporters in Wisconsin. I heard that the crowd and enthusiasm was unreal!,Trump
SCENE I. OLIVIA's garden.,Shakespeare
"Will be heading over to the debate soon. Can you believe @CNN is ""milking"" it for almost 3 hours? Too long, too many people on stage!",Trump
"Peruse this paper, madam.",Shakespeare
"O reverend tribunes! O gentle, aged men!",Shakespeare
Out three years old.,Shakespeare
"Her eye, and tell me for what dull part in't",Shakespeare
"""@patty_laughlin: DonaldTrump @karl @Morning_Joe @FoxNews Never thought much of Carl.. Make America Great Again Trump for President 2016""",Trump
bridegroom wants,Shakespeare
"Seeing his reputation touch'd to death,",Shakespeare
late is to be up late.,Shakespeare
For womanish it is to be from thence.,Shakespeare
.@GStephanopoulos just announced that I am leading  BIG in the new @ABC Poll which will be shown on This Week at 9:00 A.M. I will be on show,Trump
"been the finder out of this secret, it would not",Shakespeare
Even as an adder when she doth unroll,Shakespeare
SCENE IV. Before the walls of Athens.,Shakespeare
Because so well I love Lucentio.,Shakespeare
"""@LivNow: THIS IS WHO WE R REGISTER AS REP ONLINE 2VOTE TRUMP IN PRIMARY : https://t.co/1xS5L6UbkY #MAKEAMERICAGREATAGAIN @Carolde""",Trump
"The fresh-brook muscles, wither'd roots and husks",Shakespeare
"Come, come, he must not.",Shakespeare
"Sir, if you spend word for word with me, I shall",Shakespeare
RT @Carl_C_Icahn: 1/3 After last night۪s debate I decided to accept @realDonaldTrump offer for Secretary of Treasury.,Trump
Of what personage and years is he?,Shakespeare
"A thing divine, for nothing natural",Shakespeare
"Remember, I am self-funding my campaign, the only one in either party. Im not controlled by lobbyists or special interests-only the U.S.A.!",Trump
All that you speak shows fair.,Shakespeare
I am somewhat surprised that Bernie Sanders was not true to himself and his supporters. They are not happy that he is selling out!,Trump
"Though less than yours in past, must o'ertop yours,",Shakespeare
His life I gave him and did thereto add,Shakespeare
"What, all in motion? Henceforth be no feast,",Shakespeare
"Now, good Camillo,",Shakespeare
You understand me not that tell me so:,Shakespeare
Exit a Servingman,Shakespeare
"Re-enter FLAVIUS, with the casket",Shakespeare
RT @SCTeamTrump: What a good lookin First Family! #MakeAmericaGreatAgain  https://t.co/FBMvJVW1S4,Trump
"bull! now, dog! 'Loo, Paris, 'loo! now my double-",Shakespeare
Today I introduced my Contract with the American Voter - our economy will be STRONG &amp; our people will be SAFE._ https://t.co/Sa6XUfueU4,Trump
Lead away.,Shakespeare
"Come, let us go, and make thy father blind,",Shakespeare
"For I will board her, though she chide as loud",Shakespeare
"""@mia_liner: @GSRPygmies  @realDonaldTrump Trump supporters are a very loyal breed! We see the truth, only Trump can fix this mess we are in",Trump
RT @namusca: #VoteTrump2016 a real leader that truly cares about America &amp; our values. He wants to bring prosperity back 2 USA https://t.co_,Trump
You had rather be at a breakfast of enemies than a,Shakespeare
"And, if you love me, as I think you do,",Shakespeare
"Nay, come, agree whose hand shall go along,",Shakespeare
"Live you the marble-breasted tyrant still,",Shakespeare
"Thank you Florida, Ohio, and Pennsylvania! #CrookedHillary is not qualified. #ImWithYou https://t.co/M1yzgyeEdY",Trump
"Go, wind, to wind, there turn and change together.",Shakespeare
"May rather pluck on laughter than revenge,",Shakespeare
And takest it all for jest.,Shakespeare
"And indeed, sir, there are cozeners abroad,",Shakespeare
"""Hillary Clinton needs to address the racist undertones of her 2008 campaign."" #FlashbackFriday https://t.co/MJQp0rcnzH",Trump
"Thrice noble Titus, spare my first-born son.",Shakespeare
"""@joeearle: @Pistol044 Theres only one Ill never support: @realDonaldTrump",Trump
"""@Gman0623: @realDonaldTrump @HaloOneForTrump @FoxNews @CNN @GOP I love you Trump! MAKE AMERICA GREAT AGAIN!""",Trump
sweet queen.,Shakespeare
You do not want to miss @BarbaraJWalters 10 Most Fascinating People of 2015 @ABC ۢ 9:30pmE. https://t.co/oyvsvYPrLV https://t.co/CfeaC06kiq,Trump
Provokes itself and like the current flies,Shakespeare
"another laced, an old rusty sword ta'en out of the",Shakespeare
"Jewel of children, seen this hour, he had pair'd",Shakespeare
"facit monachum, that's as much to say as I wear not",Shakespeare
I am now in Iowa getting ready to speak. People are always amazed to find out that I am Protestant (Presbyterian). GREAT.,Trump
Sodden business! there's a stewed phrase indeed!,Shakespeare
My interview with @jheil &amp; @MarkHalperin at @WollmanRink airing at 5PM on @bpolitics. https://t.co/qErQu7CeEH,Trump
"Sir Thurio, fear not you: I will so plead",Shakespeare
"Why, then, it seems, some certain snatch or so",Shakespeare
"Will take again your queen as yours at first,",Shakespeare
"Please your highness, posts",Shakespeare
"Saw'st thou not, boy, how Silver made it good",Shakespeare
"To send their smiles before them to Achilles,",Shakespeare
That doth utter all men's ware-a.,Shakespeare
"But this your minion, whom I know you love,",Shakespeare
